Objetivo 1, Objetivo 2
1.086449200360866598e+03,-3.995353214049542885e+02
1.153330991766597663e+03,-3.136965226551771480e+02
4.917731102667721075e+02,9.940458951984027181e+01
4.642608106087735109e+02,-3.177937993492322022e+01
1.816481005857648370e+03,-8.709212898992260534e+02
8.254017692549733738e+02,-2.584124909282949716e+02
9.221334612697862667e+02,-3.726610228710123920e+02
-2.889465281855910206e+01,4.360130773209799599e+02
1.459217004087486202e+03,-7.613561452841681785e+02
4.887235656143591314e+02,-1.432694925021885979e+02
3.817839658044852058e+02,-1.388459454065279886e+01
-2.414264357718256448e+01,5.650880748924640784e+02
5.167346547319106094e+02,-1.507866616775484943e+02
4.711601500931577675e+02,-6.275107122160353157e+00
6.221526962761679442e+02,8.489636609210084117e+00
-8.217717743074177861e+01,6.125081178086221598e+02
2.115823326678841454e+02,2.729520075225908045e+02
8.560687477365219138e+02,-2.085576510054266066e+02
8.429472649233819084e+02,-2.580267704205393215e+02
4.789344452303367916e+02,1.831139673457829531e+02
7.034415168959603761e+02,-1.241477460459341700e+02
-4.752215843390580829e+01,5.441020027066998637e+02
1.657523279416248130e+01,5.590809583779360992e+02
8.223294246911559640e+02,-1.736329582695802287e+02
-5.756688461977874738e+01,6.490677626925936465e+02
1.102912454055792978e+03,-4.183661072562414347e+02
5.193417597042620173e+02,-9.232549686725626259e+01
6.031925146929702350e+02,-1.336742816256218020e+02
4.768015676418716566e+02,1.419238710724640953e+02
1.212885715164310113e+03,-4.976270348339730845e+02
7.052918139528353549e+02,-9.474569680279772399e+01
-2.531616539571681557e+01,5.807533820415397940e+02
1.195228512192319315e+01,5.832270630534493421e+02
3.599411138190674251e+02,1.868997228146362488e+02
2.977888670007477003e+02,3.531766004697573180e+01
7.099728158262769284e+02,-1.471853569560070980e+02
-3.388848428545421854e+01,6.389243473322686668e+02
8.817783085917722019e+02,-1.531066548126496230e+02
-2.137749059755869325e+02,7.554622779313010597e+02
-6.860065230122546609e+01,6.771567294331847506e+02
7.662273812287880901e+02,-1.584477552889362073e+02
-1.488196113702718151e+02,8.331950285576346005e+02
1.145179149964779299e+03,-5.445187259205297323e+02
-1.502891701960090245e+02,6.571136977281146301e+02
3.886648609732540081e+02,-7.588534676398559498e+01
1.059464292024673114e+03,-4.900329995876775797e+02
7.280291916475990774e+02,-1.108080175586094214e+02
1.309762555890309613e+03,-6.670205319618549993e+02
6.614055874650392752e+02,-2.373590942523324259e+02
6.458208434034443144e+02,-1.870103801537462687e+02
7.211116016665719144e+02,-2.204980922915473229e+02
3.155816576847144361e+01,4.517047371725772109e+02
8.466577803337221440e+02,-3.268189878617393447e+02
8.744431789318050505e+02,-3.704468821426033287e+02
-2.292946314503645766e+01,6.196344082152467081e+02
2.273374652762937558e+02,3.796200806434369497e+02
1.154784577065090389e+03,-5.504355886680693857e+02
6.207531938618645881e+02,-1.163448692741599899e+00
-9.877118654598993430e+01,6.737311436291806785e+02
5.691416426927892189e+02,-3.632605987422942206e+01
8.117774821401569625e+02,-1.694989202989031867e+02
8.261168318495741687e+02,-3.440309086524999671e+00
1.076827059095233381e+03,-5.478294354876708212e+02
1.411297905027953448e+02,5.042580613065574653e+02
7.305790991650599153e+02,-1.042586560761861563e+02
1.346594836216800786e+03,-7.059057088112626843e+02
1.130793513155097116e+03,-3.757250052003312248e+02
3.357911001138853635e+02,3.731403574578652638e+02
5.805910551390248031e+00,5.317697845487009545e+02
6.632261946426456234e+02,1.954817979361816782e+01
6.708091656555699274e+02,-2.524515967181290819e+02
8.969570564976613696e+02,-3.106996972977563587e+02
1.336656805785847268e+02,5.961558061915361577e+02
4.822829881826699960e+01,3.910930860171005179e+02
6.285318388213664775e+02,-5.146077159596380568e+01
-2.282355567291937248e+01,4.096647115734623412e+02
2.086896238579049907e+02,2.631546011640376719e+02
1.146220808543160707e+01,4.562734852839216728e+02
6.611208651275334205e+02,7.429231682936561754e+01
1.213472353061040167e+03,-5.679847190936458219e+02
7.830328886832880926e+02,-1.152168482288876277e+02
8.133033924699093404e+02,-2.578596212261970209e+02
8.992080911771424212e+01,4.552806355916487746e+02
6.924494965138428597e+02,-1.380724374776275170e+02
5.585012454318191431e+02,-3.533269851608459788e+01
3.545771187313101223e+02,2.174850279082508564e+02
6.066175917072065431e+02,-1.265189833014950693e+01
-1.016321411867654660e+02,6.628911283830216234e+02
3.597433760816782637e+02,2.442350595970597027e+01
-1.200167417125199165e+02,5.960043863213596751e+02
-7.988228726035760019e+01,5.263447577914980684e+02
5.709382644160567679e+02,-4.214147877654617247e+01
1.012856966889702790e+03,-3.922138404603516619e+02
9.217422056697147354e+02,-2.749874232737082593e+02
1.669053796290282605e+02,5.082641948119460267e+02
1.259586352062567727e+02,4.191585598447899201e+02
6.176743007802933789e+02,-1.097275820092499572e+02
1.163057371741840029e+02,5.344614412758535309e+02
6.952826436338062877e+02,-8.147555923802715938e+01
9.107896001408523716e+02,-1.385065795974128093e+02
